ParticipantID,Year_month,Education,Food,Recreation,Shelter,Wage,RentAdjustment,Cost_of_living,Total_Income,Total_Savings,HouseholdSize,HaveKids,age,EducationLevel,InterestGroup,Joviality,Age_Category
0,2022-03-01,38,269,348,555,11926,0,1210,11926,10716,3,TRUE,36,HighSchoolOrCollege,H,0.001626703,31-40
0,2022-04-01,38,269,219,555,8631,0,1081,8631,7550,3,TRUE,36,HighSchoolOrCollege,H,0.001626703,31-40
0,2022-05-01,38,264,384,555,9042,0,1241,9042,7801,3,TRUE,36,HighSchoolOrCollege,H,0.001626703,31-40
0,2022-06-01,38,257,466,555,9042,0,1316,9042,7726,3,TRUE,36,HighSchoolOrCollege,H,0.001626703,31-40
0,2022-07-01,38,270,1069,555,8631,0,1932,8631,6699,3,TRUE,36,HighSchoolOrCollege,H,0.001626703,31-40
0,2022-08-01,38,260,313,555,9453,0,1166,9453,8287,3,TRUE,36,HighSchoolOrCollege,H,0.001626703,31-40
0,2022-09-01,38,255,292,555,9042,0,1140,9042,7902,3,TRUE,36,HighSchoolOrCollege,H,0.001626703,31-40
0,2022-10-01,38,268,25,555,8631,0,886,8631,7745,3,TRUE,36,HighSchoolOrCollege,H,0.001626703,31-40
0,2022-11-01,38,262,377,555,9042,0,1232,9042,7810,3,TRUE,36,HighSchoolOrCollege,H,0.001626703,31-40
0,2022-12-01,38,266,358,555,9042,0,1217,9042,7825,3,TRUE,36,HighSchoolOrCollege,H,0.001626703,31-40
0,2023-01-01,38,265,212,555,9042,0,1070,9042,7972,3,TRUE,36,HighSchoolOrCollege,H,0.001626703,31-40
0,2023-02-01,38,239,320,555,8220,0,1152,8220,7068,3,TRUE,36,HighSchoolOrCollege,H,0.001626703,31-40
1,2022-03-01,38,297,1044,555,10353,0,1934,10353,8419,3,TRUE,25,HighSchoolOrCollege,B,0.3280865,21-30
1,2022-04-01,38,260,512,555,7581,0,1365,7581,6216,3,TRUE,25,HighSchoolOrCollege,B,0.3280865,21-30
1,2022-05-01,38,260,359,555,7942,0,1212,7942,6730,3,TRUE,25,HighSchoolOrCollege,B,0.3280865,21-30
1,2022-06-01,38,267,674,555,7942,0,1534,7942,6408,3,TRUE,25,HighSchoolOrCollege,B,0.3280865,21-30
1,2022-07-01,38,274,504,555,7581,0,1371,7581,6210,3,TRUE,25,HighSchoolOrCollege,B,0.3280865,21-30
1,2022-08-01,38,277,437,555,8303,0,1307,8303,6996,3,TRUE,25,HighSchoolOrCollege,B,0.3280865,21-30
1,2022-09-01,38,261,388,555,7942,0,1242,7942,6700,3,TRUE,25,HighSchoolOrCollege,B,0.3280865,21-30
1,2022-10-01,38,271,383,555,7581,0,1247,7581,6334,3,TRUE,25,HighSchoolOrCollege,B,0.3280865,21-30
1,2022-11-01,38,262,628,555,7942,0,1483,7942,6459,3,TRUE,25,HighSchoolOrCollege,B,0.3280865,21-30
1,2022-12-01,38,287,1077,555,7942,0,1957,7942,5985,3,TRUE,25,HighSchoolOrCollege,B,0.3280865,21-30
1,2023-01-01,38,270,324,555,7942,0,1187,7942,6755,3,TRUE,25,HighSchoolOrCollege,B,0.3280865,21-30
1,2023-02-01,38,237,293,555,7220,0,1123,7220,6097,3,TRUE,25,HighSchoolOrCollege,B,0.3280865,21-30
10,2022-03-01,13,399,407,561,8964,0,1380,8964,7584,3,TRUE,48,HighSchoolOrCollege,D,0.557176006,41-50
10,2022-04-01,13,385,413,561,6216,0,1372,6216,4844,3,TRUE,48,HighSchoolOrCollege,D,0.557176006,41-50
10,2022-05-01,13,404,130,561,6512,0,1108,6512,5404,3,TRUE,48,HighSchoolOrCollege,D,0.557176006,41-50
10,2022-06-01,13,382,148,561,6512,0,1104,6512,5408,3,TRUE,48,HighSchoolOrCollege,D,0.557176006,41-50
10,2022-07-01,13,398,164,561,6216,0,1136,6216,5080,3,TRUE,48,HighSchoolOrCollege,D,0.557176006,41-50
10,2022-08-01,13,395,366,561,6808,0,1335,6808,5473,3,TRUE,48,HighSchoolOrCollege,D,0.557176006,41-50
10,2022-09-01,13,380,158,561,6512,0,1112,6512,5400,3,TRUE,48,HighSchoolOrCollege,D,0.557176006,41-50
10,2022-10-01,13,389,297,561,6216,0,1260,6216,4956,3,TRUE,48,HighSchoolOrCollege,D,0.557176006,41-50
10,2022-11-01,13,383,261,561,6512,0,1218,6512,5294,3,TRUE,48,HighSchoolOrCollege,D,0.557176006,41-50
10,2022-12-01,13,391,290,561,6512,0,1255,6512,5257,3,TRUE,48,HighSchoolOrCollege,D,0.557176006,41-50
10,2023-01-01,13,397,223,561,6512,0,1194,6512,5318,3,TRUE,48,HighSchoolOrCollege,D,0.557176006,41-50
10,2023-02-01,13,356,233,561,5920,0,1163,5920,4757,3,TRUE,48,HighSchoolOrCollege,D,0.557176006,41-50
100,2022-03-01,0,321,432,597,5991,0,1350,5991,4641,2,FALSE,29,Low,F,0.142686163,21-30
100,2022-04-01,0,308,496,597,3784,0,1401,3784,2383,2,FALSE,29,Low,F,0.142686163,21-30
100,2022-05-01,0,324,428,597,3612,0,1349,3612,2263,2,FALSE,29,Low,F,0.142686163,21-30
100,2022-06-01,0,309,308,597,3784,0,1214,3784,2570,2,FALSE,29,Low,F,0.142686163,21-30
100,2022-07-01,0,315,332,597,3784,0,1244,3784,2540,2,FALSE,29,Low,F,0.142686163,21-30
100,2022-08-01,0,317,414,597,3784,0,1328,3784,2456,2,FALSE,29,Low,F,0.142686163,21-30
100,2022-09-01,0,308,389,597,3784,0,1294,3784,2490,2,FALSE,29,Low,F,0.142686163,21-30
100,2022-10-01,0,320,557,597,3612,0,1474,3612,2138,2,FALSE,29,Low,F,0.142686163,21-30
100,2022-11-01,0,309,383,597,3784,0,1289,3784,2495,2,FALSE,29,Low,F,0.142686163,21-30
